"(u'front', u'desk')",340
"(u'room', u'service')",221
"(u'hotel', u'chicago')",141
"(u'chicago', u'hotel')",140
"(u'recommend', u'hotel')",116
"(u'stay', u'hotel')",114
"(u'downtown', u'chicago')",111
"(u'would', u'recommend')",102
"(u'customer', u'service')",99
"(u'hard', u'rock')",97
"(u'staff', u'friendly')",93
"(u'walking', u'distance')",80
"(u'next', u'time')",79
"(u'hotel', u'staff')",78
"(u'michigan', u'ave')",76
"(u'great', u'location')",72
"(u'even', u'though')",71
"(u'highly', u'recommend')",71
"(u'room', u'clean')",71
"(u'place', u'stay')",71
"(u'ambassador', u'east')",69
"(u'trip', u'chicago')",68
"(u'one', u'night')",68
"(u'would', u'definitely')",68
"(u'magnificent', u'mile')",67
"(u'stayed', u'hotel')",66
"(u'go', u'back')",65
"(u'hotel', u'room')",64
"(u'got', u'room')",63
"(u'rock', u'hotel')",63
"(u'palmer', u'house')",61
"(u'hotel', u'great')",59
"(u'navy', u'pier')",58
"(u'recently', u'stayed')",58
"(u'would', u'stay')",57
"(u'michigan', u'avenue')",55
"(u'definitely', u'stay')",55
"(u'great', u'hotel')",54
"(u'desk', u'staff')",54
"(u'felt', u'like')",53
"(u'friendly', u'helpful')",53
"(u'star', u'hotel')",50
"(u'hotel', u'allegro')",49
"(u'never', u'stay')",48
"(u'fitness', u'center')",48
"(u'hilton', u'chicago')",48
"(u'hotel', u'monaco')",48
"(u'hotel', u'anyone')",47
"(u'homewood', u'suites')",47
"(u'called', u'front')",47
"(u'east', u'hotel')",46
"(u'flat', u'screen')",46
"(u'hyatt', u'regency')",46
"(u'fairmont', u'chicago')",46
"(u'hotel', u'one')",45
"(u'looked', u'like')",44
"(u'another', u'room')",44
"(u'location', u'great')",43
"(u'omni', u'chicago')",43
"(u'non', u'smoking')",43
"(u'visit', u'chicago')",43
"(u'water', u'tower')",42
"(u'smoking', u'room')",42
"(u'gave', u'us')",42
"(u'wi', u'fi')",42
"(u'within', u'walking')",41
"(u'amalfi', u'hotel')",41
"(u'staff', u'helpful')",41
"(u'business', u'trip')",40
"(u'next', u'morning')",40
"(u'millennium', u'park')",40
"(u'conrad', u'chicago')",40
"(u'hotel', u'would')",40
"(u'desk', u'clerk')",40
"(u'sheraton', u'chicago')",39
"(u'bed', u'comfortable')",39
"(u'feel', u'like')",38
"(u'hotel', u'stay')",38
"(u'upon', u'arrival')",38
"(u'room', u'ready')",37
"(u'two', u'nights')",37
"(u'finally', u'got')",37
"(u'much', u'better')",37
"(u'chicago', u'stayed')",37
"(u'night', u'stay')",37
"(u'next', u'door')",37
"(u'could', u'hear')",36
"(u'get', u'room')",36
"(u'size', u'bed')",35
"(u'beds', u'comfortable')",35
"(u'next', u'day')",35
"(u'one', u'best')",35
"(u'great', u'view')",35
"(u'stay', u'chicago')",35
"(u'internet', u'access')",34
"(u'staying', u'hotel')",34
"(u'great', u'place')",34
"(u'booked', u'room')",34
"(u'looking', u'forward')",34
"(u'first', u'night')",34
"(u'per', u'night')",34
"(u'hotel', u'located')",34
"(u'hotel', u'restaurant')",34
"(u'would', u'never')",34
"(u'room', u'nice')",33
"(u'house', u'hilton')",33
"(u'hotel', u'towers')",33
"(u'new', u'room')",33
"(u'chicago', u'millennium')",32
"(u'first', u'time')",32
"(u'talbott', u'hotel')",32
"(u'millennium', u'knickerbocker')",32
"(u'hotel', u'hotel')",32
"(u'us', u'room')",32
"(u'room', u'small')",32
"(u'time', u'chicago')",32
"(u'hotel', u'beautiful')",31
"(u'intercontinental', u'chicago')",31
"(u'room', u'room')",31
"(u'knickerbocker', u'hotel')",31
"(u'staff', u'rude')",31
"(u'visiting', u'chicago')",31
"(u'hotel', u'rooms')",30
"(u'king', u'bed')",30
"(u'chicago', u'area')",30
"(u'nice', u'hotel')",30
"(u'husband', u'stayed')",30
"(u'king', u'size')",30
"(u'luxury', u'hotel')",30
"(u'arrived', u'hotel')",30
"(u'room', u'great')",30
"(u'mini', u'bar')",30
"(u'another', u'hotel')",30
"(u'told', u'us')",29
"(u'stay', u'would')",29
"(u'room', u'spacious')",29
"(u'could', u'get')",29
"(u'credit', u'card')",29
"(u'rooms', u'clean')",29
"(u'location', u'hotel')",28
"(u'service', u'hotel')",28
"(u'hotel', u'stayed')",28
"(u'regency', u'chicago')",28
"(u'hotel', u'ever')",28
"(u'view', u'room')",27
"(u'lake', u'michigan')",27
"(u'definitely', u'recommend')",27
"(u'room', u'hotel')",27
"(u'friendly', u'staff')",27
"(u'service', u'great')",27
"(u'chicago', u'water')",27
"(u'ever', u'stayed')",26
"(u'valet', u'parking')",26
"(u'come', u'back')",26
"(u'year', u'old')",26
"(u'wireless', u'internet')",26
"(u'booked', u'hotel')",26
"(u'needless', u'say')",25
"(u'location', u'perfect')",25
"(u'beautiful', u'hotel')",25
"(u'pump', u'room')",25
"(u'back', u'room')",25
"(u'room', u'two')",25
"(u'screen', u'tv')",25
"(u'recommend', u'anyone')",25
"(u'sofitel', u'chicago')",25
"(u'chicago', u'would')",25
"(u'swissotel', u'chicago')",25
"(u'chicago', u'great')",24
"(u'service', u'excellent')",24
"(u'chicago', u'one')",24
"(u'somewhere', u'else')",24
"(u'top', u'notch')",24
"(u'came', u'back')",24
"(u'enjoyed', u'stay')",24
"(u'good', u'location')",24
"(u'hotel', u'good')",24
"(u'well', u'appointed')",24
"(u'coming', u'back')",24
"(u'windy', u'city')",24
"(u'wife', u'stayed')",24
"(u'james', u'chicago')",23
"(u'really', u'enjoyed')",23
"(u'business', u'center')",23
"(u'hotel', u'location')",23
"(u'chicago', u'first')",23
"(u'hotels', u'chicago')",23
"(u'hotel', u'also')",23
"(u'three', u'nights')",23
"(u'great', u'deal')",23
"(u'room', u'would')",22
"(u'made', u'feel')",22
"(u'high', u'speed')",22
"(u'comfortable', u'bed')",22
"(u'best', u'hotel')",22
"(u'weekend', u'getaway')",22
"(u'able', u'get')",22
"(u'chicago', u'business')",22
"(u'would', u'expect')",22
"(u'breakfast', u'buffet')",22
"(u'chicago', u'stay')",22
"(u'hotel', u'nice')",21
"(u'ordered', u'room')",21
"(u'floor', u'room')",21
"(u'allegro', u'chicago')",21
"(u'several', u'times')",21
"(u'hotel', u'first')",21
"(u'every', u'time')",21
"(u'back', u'hotel')",21
"(u'check', u'time')",21
"(u'stayed', u'one')",21
"(u'indoor', u'pool')",21
"(u'smelled', u'like')",21
"(u'clean', u'room')",21
"(u'away', u'home')",21
"(u'pet', u'friendly')",21
"(u'room', u'floor')",21
"(u'quality', u'hotel')",20
"(u'room', u'also')",20
"(u'rooms', u'spacious')",20
"(u'staff', u'nice')",20
"(u'comfortable', u'beds')",20
"(u'long', u'time')",20
"(u'get', u'away')",20
"(u'room', u'smelled')",20
"(u'air', u'conditioning')",20
"(u'double', u'beds')",20
"(u'rooms', u'nice')",20
"(u'view', u'city')",20
"(u'stay', u'james')",20
"(u'stayed', u'nights')",19
"(u'rooms', u'available')",19
"(u'room', u'cleaned')",19
"(u'guest', u'room')",19
"(u'must', u'say')",19
"(u'one', u'day')",19
"(u'room', u'found')",19
"(u'made', u'us')",19
"(u'hot', u'water')",19
"(u'would', u'highly')",19
"(u'great', u'stay')",19
"(u'millenium', u'park')",19
"(u'stayed', u'hyatt')",19
"(u'air', u'conditioner')",19
"(u'next', u'trip')",19
"(u'hotel', u'bar')",19
"(u'clean', u'well')",19
"(u'clean', u'comfortable')",19
"(u'chicago', u'river')",19
"(u'toilet', u'paper')",19
"(u'great', u'experience')",19
"(u'holiday', u'inn')",19
"(u'room', u'even')",19
"(u'continental', u'breakfast')",18
"(u'wait', u'minutes')",18
"(u'room', u'next')",18
"(u'best', u'part')",18
"(u'great', u'restaurants')",18
"(u'decided', u'stay')",18
"(u'swimming', u'pool')",18
"(u'stay', u'room')",18
"(u'room', u'one')",18
"(u'comfortable', u'room')",18
"(u'weekend', u'chicago')",18
"(u'made', u'reservation')",18
"(u'got', u'great')",18
"(u'room', u'view')",18
"(u'helpful', u'room')",18
"(u'make', u'sure')",18
"(u'room', u'looked')",18
"(u'highly', u'recommended')",18
"(u'stayed', u'omni')",18
"(u'staff', u'extremely')",18
"(u'bed', u'room')",18
"(u'stay', u'hilton')",18
"(u'monaco', u'chicago')",18
"(u'one', u'worst')",17
"(u'check', u'check')",17
"(u'high', u'end')",17
"(u'really', u'nice')",17
"(u'james', u'hotel')",17
"(u'every', u'day')",17
"(u'last', u'minute')",17
"(u'extremely', u'comfortable')",17
"(u'free', u'internet')",17
"(u'wonderful', u'stay')",17
"(u'affinia', u'chicago')",17
"(u'experience', u'hotel')",17
"(u'went', u'back')",17
"(u'stayed', u'sheraton')",17
"(u'back', u'chicago')",17
"(u'two', u'days')",17
"(u'right', u'next')",17
"(u'never', u'go')",17
"(u'look', u'like')",17
"(u'hotel', u'really')",17
